epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 39.61805555555556 39.826388888888886 35.625 30.3125 72.2768670309654 72.64116575591987
2: 49.6875 48.611111111111114 69.6875 70.9375 76.01532567049809 75.7088122605364
3: 50.59027777777778 50.27777777777778 74.0625 73.4375 78.94949494949493 78.62626262626263
4: 51.25 50.798611111111114 71.5625 73.4375 81.70940170940172 81.41025641025641
5: 51.701388888888886 51.63194444444444 75.625 75.0 84.3990929705216 83.80952380952387
6: 51.736111111111114 51.111111111111114 71.5625 73.4375 86.37681159420286 85.84541062801931
7: 51.21527777777778 51.31944444444444 75.9375 75.0 87.97979797979798 87.52525252525253
8: 51.52777777777778 51.979166666666664 72.5 70.0 90.67750677506774 89.91869918699187
9: 51.84027777777778 51.52777777777778 75.0 73.125 92.57309941520468 92.22222222222224
10: 51.84027777777778 52.291666666666664 70.9375 74.6875 92.39766081871342 92.39766081871346
11: 52.22222222222222 52.15277777777778 73.4375 75.0 92.86549707602343 92.63157894736845
12: 52.708333333333336 52.56944444444444 74.6875 75.3125 93.04093567251465 92.63157894736845
13: 51.875 52.013888888888886 73.75 72.1875 92.10526315789477 92.33918128654972
14: 52.395833333333336 52.5 75.0 72.8125 92.57309941520471 92.80701754385969
15: 52.22222222222222 52.22222222222222 75.3125 73.75 92.80701754385969 92.63157894736845
16: 53.05555555555556 53.020833333333336 74.0625 76.5625 92.33918128654975 92.28070175438599
17: 53.09027777777778 52.53472222222222 74.375 74.0625 92.45614035087718 92.10526315789474
18: 52.326388888888886 52.53472222222222 74.375 73.125 92.22222222222223 92.22222222222223
19: 53.40277777777778 52.638888888888886 71.25 73.75 92.92397660818713 92.86549707602337
20: 53.40277777777778 52.916666666666664 72.1875 73.4375 92.51461988304095 92.16374269005848
21: 53.36805555555556 52.708333333333336 75.3125 75.3125 93.04093567251464 93.0994152046784
22: 53.229166666666664 53.36805555555556 68.75 72.1875 92.22222222222224 92.1637426900585
23: 52.395833333333336 52.53472222222222 74.6875 74.375 92.74853801169593 92.8654970760234
24: 53.298611111111114 52.708333333333336 74.6875 75.625 92.3391812865497 92.16374269005848
25: 53.333333333333336 53.15972222222222 74.0625 73.4375 92.57309941520468 92.63157894736845
26: 53.4375 53.19444444444444 74.0625 74.375 92.4561403508772 92.8654970760234
27: 53.645833333333336 53.36805555555556 76.5625 75.3125 92.92397660818715 92.8654970760234
28: 53.541666666666664 53.40277777777778 74.0625 75.0 92.98245614035089 92.80701754385967
29: 52.951388888888886 52.916666666666664 71.875 70.625 93.33333333333337 93.21637426900591
30: 53.229166666666664 53.263888888888886 74.6875 74.0625 92.80701754385969 92.9824561403509
31: 53.229166666666664 52.8125 76.25 74.6875 92.57309941520472 92.51461988304096
32: 53.125 53.576388888888886 76.25 76.25 93.39181286549712 93.50877192982462
33: 53.958333333333336 53.611111111111114 75.0 76.25 93.04093567251465 93.21637426900587
34: 53.125 53.263888888888886 75.3125 71.5625 93.62573099415208 93.2163742690059
35: 53.298611111111114 52.986111111111114 75.9375 75.3125 93.56725146198832 93.39181286549707
36: 53.68055555555556 53.71527777777778 70.9375 70.625 92.8654970760234 92.39766081871345
37: 53.47222222222222 53.645833333333336 75.625 76.5625 92.92397660818715 93.04093567251464
38: 53.47222222222222 53.47222222222222 72.5 72.8125 93.39181286549707 93.21637426900583
39: 53.50694444444444 53.4375 76.5625 75.9375 93.56725146198832 93.33333333333336
40: 53.40277777777778 54.166666666666664 76.25 76.25 92.69005847953218 92.63157894736845
41: 53.854166666666664 53.19444444444444 76.5625 76.25 92.98245614035089 92.86549707602339
42: 53.50694444444444 54.02777777777778 72.8125 70.9375 93.39181286549712 93.21637426900587
43: 53.68055555555556 53.923611111111114 76.5625 76.875 92.80701754385964 92.86549707602339
44: 53.611111111111114 53.68055555555556 75.9375 75.625 92.92397660818715 92.98245614035089
45: 53.36805555555556 53.958333333333336 75.9375 76.25 93.15789473684214 93.15789473684214
46: 53.611111111111114 53.298611111111114 74.0625 76.5625 92.69005847953217 92.63157894736845
47: 53.50694444444444 53.75 76.5625 75.625 92.33918128654972 92.39766081871346
48: 53.81944444444444 54.09722222222222 74.6875 76.25 93.09941520467837 93.33333333333333
49: 53.298611111111114 53.923611111111114 72.5 71.25 93.0994152046784 93.15789473684211
50: 53.611111111111114 53.75 74.0625 75.3125 93.27485380116966 93.3333333333334
51: 53.47222222222222 53.229166666666664 74.6875 75.625 92.98245614035089 93.50877192982459
52: 53.611111111111114 53.923611111111114 75.625 73.4375 93.21637426900585 92.98245614035088
53: 54.30555555555556 53.541666666666664 73.75 74.6875 92.98245614035089 93.15789473684214
54: 54.0625 53.99305555555556 75.0 75.625 93.09941520467837 93.04093567251464
55: 53.888888888888886 53.958333333333336 72.5 74.375 93.27485380116963 93.0994152046784
56: 54.13194444444444 53.854166666666664 75.3125 75.3125 92.51461988304096 92.280701754386
57: 53.923611111111114 53.854166666666664 75.9375 75.3125 93.39181286549709 93.15789473684214
58: 53.888888888888886 53.81944444444444 74.0625 71.25 92.92397660818715 92.98245614035089
59: 54.40972222222222 54.34027777777778 76.5625 76.5625 93.0409356725146 92.8654970760234
60: 53.36805555555556 53.75 72.5 73.75 92.9824561403509 92.80701754385967
61: 54.09722222222222 54.375 74.375 73.75 92.80701754385967 92.51461988304095
62: 53.81944444444444 54.09722222222222 75.9375 76.5625 92.9824561403509 92.98245614035089
63: 54.479166666666664 54.201388888888886 72.5 72.5 93.15789473684214 93.33333333333333
64: 53.541666666666664 54.09722222222222 73.75 75.9375 93.33333333333333 93.39181286549709
65: 53.923611111111114 53.888888888888886 76.25 76.5625 94.093567251462 94.03508771929826
66: 53.541666666666664 53.19444444444444 73.75 73.75 92.69005847953218 93.04093567251464
67: 53.99305555555556 54.270833333333336 75.625 74.6875 93.62573099415205 94.03508771929825
68: 54.09722222222222 54.166666666666664 74.6875 72.1875 93.33333333333337 92.92397660818717
69: 54.236111111111114 53.958333333333336 76.25 75.0 92.98245614035089 92.92397660818715
70: 53.645833333333336 53.75 74.375 74.375 92.92397660818713 92.63157894736842
71: 54.13194444444444 53.78472222222222 74.0625 74.0625 93.09941520467837 92.69005847953217
72: 54.30555555555556 54.375 76.25 76.5625 93.2163742690059 93.33333333333337
73: 54.34027777777778 54.30555555555556 72.8125 71.5625 93.45029239766086 93.50877192982458
74: 54.13194444444444 54.548611111111114 74.6875 74.0625 92.74853801169593 93.21637426900587
75: 53.958333333333336 54.166666666666664 75.9375 73.125 92.80701754385969 92.74853801169593
76: 54.201388888888886 53.81944444444444 74.6875 74.0625 93.56725146198833 93.68421052631582
77: 53.68055555555556 53.958333333333336 77.1875 74.6875 92.92397660818713 93.09941520467835
78: 53.958333333333336 54.201388888888886 74.6875 75.3125 93.68421052631582 93.56725146198829
79: 53.958333333333336 54.34027777777778 72.5 72.5 93.27485380116961 93.56725146198832
80: 54.72222222222222 54.72222222222222 75.9375 76.875 93.62573099415208 93.27485380116961
81: 54.479166666666664 54.30555555555556 75.3125 74.375 93.0994152046784 93.15789473684214
82: 54.65277777777778 54.44444444444444 73.75 74.375 93.27485380116961 93.45029239766083
83: 54.6875 54.6875 75.625 75.625 92.80701754385967 93.33333333333337
84: 54.40972222222222 54.479166666666664 75.625 73.75 92.80701754385964 92.51461988304095
85: 53.888888888888886 54.375 74.375 73.4375 93.39181286549709 93.15789473684211
86: 54.72222222222222 54.791666666666664 73.75 75.0 93.39181286549712 93.04093567251468
87: 54.44444444444444 54.861111111111114 75.9375 74.375 92.4561403508772 92.63157894736845
88: 54.6875 54.861111111111114 74.6875 71.5625 92.69005847953218 92.280701754386
89: 54.791666666666664 54.75694444444444 73.4375 72.1875 93.0994152046784 92.98245614035089
90: 55.173611111111114 55.173611111111114 75.3125 76.25 93.39181286549709 93.33333333333336
91: 54.375 54.583333333333336 75.0 74.375 92.9824561403509 93.15789473684214
92: 55.486111111111114 55.90277777777778 73.125 75.3125 93.15789473684214 93.6842105263158
93: 55.06944444444444 55.55555555555556 75.625 75.9375 93.27485380116961 93.0409356725146
94: 55.0 54.93055555555556 73.125 73.4375 93.27485380116961 93.09941520467837
95: 54.93055555555556 54.791666666666664 74.0625 76.875 93.33333333333336 93.09941520467837
96: 55.3125 55.173611111111114 75.625 73.75 93.33333333333337 93.45029239766086
97: 55.34722222222222 55.34722222222222 74.375 75.0 93.8011695906433 93.8011695906433
98: 55.763888888888886 55.59027777777778 72.8125 73.125 93.8011695906433 93.74269005847955
99: 54.96527777777778 55.27777777777778 74.0625 72.8125 93.33333333333337 93.50877192982459
100: 55.486111111111114 55.763888888888886 75.625 74.6875 93.50877192982456 93.33333333333333
101: 55.38194444444444 55.416666666666664 75.0 74.375 93.04093567251464 92.74853801169591
102: 55.520833333333336 55.90277777777778 76.5625 75.9375 92.9824561403509 92.80701754385969
103: 55.86805555555556 55.9375 74.375 75.9375 93.56725146198832 93.39181286549712
104: 55.729166666666664 56.076388888888886 74.375 75.625 93.50877192982459 93.80116959064331
105: 55.416666666666664 55.625 75.3125 76.5625 93.21637426900587 93.33333333333336
106: 55.729166666666664 56.041666666666664 75.0 74.0625 93.2748538011696 92.98245614035088
107: 55.69444444444444 55.798611111111114 74.0625 73.4375 93.91812865497079 93.6842105263158
108: 55.798611111111114 55.798611111111114 73.75 73.4375 93.39181286549707 93.56725146198832
109: 55.90277777777778 55.486111111111114 75.0 75.625 93.39181286549709 93.62573099415204
110: 55.729166666666664 55.59027777777778 73.125 74.0625 93.68421052631582 93.80116959064331
111: 56.00694444444444 55.97222222222222 75.3125 75.0 93.39181286549707 93.45029239766082
