epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 52.638888888888886 52.8125 31.25 32.5 89.6057347670251 89.74910394265234
2: 61.423611111111114 61.18055555555556 72.1875 71.875 90.63752276867034 90.78324225865211
3: 62.1875 62.083333333333336 72.5 68.75 92.35404896421842 92.27871939736345
4: 62.1875 62.604166666666664 67.8125 73.125 93.37164750957854 93.25670498084291
5: 63.81944444444444 63.576388888888886 71.5625 72.5 94.84126984126985 94.92063492063492
6: 63.645833333333336 63.71527777777778 74.0625 57.8125 95.3131313131313 95.31313131313131
7: 64.27083333333333 64.375 73.75 73.4375 95.34979423868309 95.59670781893004
8: 64.13194444444444 64.47916666666667 75.3125 75.3125 97.09401709401706 96.96581196581194
9: 64.375 64.20138888888889 74.375 74.0625 97.12418300653592 96.90631808278863
10: 64.40972222222223 64.65277777777777 73.4375 74.0625 97.21132897603482 97.12418300653592
11: 65.41666666666667 64.96527777777777 74.0625 71.875 96.6448801742919 96.81917211328972
12: 65.65972222222223 64.72222222222223 71.875 74.375 97.25490196078428 97.25490196078428
13: 65.17361111111111 65.38194444444444 74.6875 75.9375 97.03703703703701 97.08061002178646
14: 65.03472222222223 64.44444444444444 72.5 72.5 96.94989106753809 96.77559912854026
15: 65.59027777777777 65.0 75.0 76.5625 97.60348583877993 97.3420479302832
16: 65.10416666666667 65.03472222222223 76.25 73.125 96.94989106753809 97.21132897603482
17: 65.34722222222223 65.20833333333333 75.0 64.375 97.4291938997821 97.55991285403047
18: 65.625 65.625 74.0625 76.875 97.4291938997821 97.47276688453158
19: 65.625 65.65972222222223 75.9375 73.125 97.03703703703701 97.03703703703701
20: 66.04166666666667 65.72916666666667 76.5625 76.25 97.03703703703701 97.03703703703698
21: 66.11111111111111 66.04166666666667 75.9375 76.25 97.60348583877992 97.4291938997821
22: 65.24305555555556 65.0 75.9375 75.625 97.86492374727666 97.60348583877993
23: 65.52083333333333 65.59027777777777 73.75 75.0 97.3420479302832 97.29847494553374
24: 65.97222222222223 65.69444444444444 71.5625 73.75 97.03703703703701 97.03703703703701
25: 66.49305555555556 66.25 75.9375 75.3125 97.3420479302832 97.08061002178646
26: 65.59027777777777 66.00694444444444 75.9375 75.9375 97.16775599128538 97.29847494553374
27: 65.9375 65.97222222222223 77.1875 76.25 97.55991285403047 97.4291938997821
28: 65.17361111111111 65.34722222222223 75.9375 74.0625 97.16775599128535 96.90631808278863
29: 66.28472222222223 65.97222222222223 75.9375 74.6875 97.08061002178644 97.03703703703701
30: 65.69444444444444 65.9375 75.0 75.0 97.16775599128535 97.08061002178644
31: 65.55555555555556 65.20833333333333 75.9375 75.625 97.38562091503265 97.51633986928103
32: 66.00694444444444 65.97222222222223 74.6875 73.4375 97.29847494553374 97.29847494553374
33: 65.55555555555556 66.18055555555556 76.25 75.0 97.38562091503265 97.51633986928103
34: 66.38888888888889 66.18055555555556 74.0625 74.6875 97.51633986928103 97.55991285403047
35: 65.69444444444444 65.79861111111111 76.5625 76.875 97.34204793028321 97.25490196078431
36: 66.28472222222223 66.45833333333333 75.9375 75.0 97.38562091503263 97.3420479302832
37: 65.90277777777777 66.42361111111111 75.0 76.25 97.38562091503265 97.29847494553374
38: 66.31944444444444 66.28472222222223 77.5 74.6875 96.47058823529407 96.73202614379079
39: 65.83333333333333 66.04166666666667 77.1875 76.5625 96.77559912854026 96.77559912854026
40: 66.31944444444444 66.31944444444444 76.5625 75.3125 97.21132897603482 97.29847494553373
41: 66.45833333333333 66.45833333333333 76.5625 76.5625 97.25490196078428 97.4291938997821
42: 66.45833333333333 65.86805555555556 75.0 73.125 97.29847494553373 97.29847494553373
43: 66.14583333333333 66.49305555555556 76.5625 76.25 97.16775599128538 97.21132897603482
44: 66.45833333333333 66.59722222222223 74.0625 76.25 96.90631808278863 96.77559912854026
45: 66.66666666666667 65.76388888888889 75.0 73.4375 96.42701525054464 96.60130718954247
46: 66.59722222222223 65.86805555555556 75.0 77.1875 97.3420479302832 97.3420479302832
47: 66.77083333333333 66.70138888888889 76.5625 76.5625 97.08061002178646 97.38562091503265
48: 66.14583333333333 66.21527777777777 76.25 75.0 97.21132897603482 97.29847494553374
49: 66.45833333333333 66.14583333333333 74.0625 72.8125 97.03703703703701 97.12418300653592
50: 66.70138888888889 66.90972222222223 74.375 74.0625 97.03703703703701 97.08061002178646
51: 66.49305555555556 66.28472222222223 74.375 73.4375 97.29847494553373 97.08061002178644
52: 65.76388888888889 66.21527777777777 76.875 75.625 97.21132897603482 97.3420479302832
53: 66.5625 66.52777777777777 75.0 74.375 97.08061002178648 96.90631808278866
54: 66.42361111111111 66.18055555555556 77.1875 76.5625 97.38562091503265 97.25490196078428
55: 65.97222222222223 66.18055555555556 75.0 73.75 97.2113289760348 97.29847494553373
56: 66.90972222222223 66.97916666666667 72.8125 74.0625 97.55991285403047 97.29847494553374
57: 66.90972222222223 67.08333333333333 77.5 77.8125 97.29847494553374 97.38562091503265
58: 66.77083333333333 66.90972222222223 73.75 74.0625 96.86274509803918 96.81917211328972
59: 66.94444444444444 66.5625 77.5 77.8125 97.16775599128538 97.16775599128538
60: 66.21527777777777 66.21527777777777 75.3125 76.5625 97.08061002178646 97.25490196078428
61: 67.08333333333333 66.59722222222223 75.625 76.25 97.29847494553374 97.25490196078428
62: 66.84027777777777 66.11111111111111 77.5 75.9375 97.25490196078428 97.3420479302832
63: 66.70138888888889 66.90972222222223 77.8125 77.5 97.16775599128538 97.16775599128538
64: 66.73611111111111 67.01388888888889 75.625 78.125 97.16775599128538 97.12418300653592
65: 66.70138888888889 67.04861111111111 75.3125 74.375 97.3420479302832 97.21132897603482
66: 66.14583333333333 66.00694444444444 73.4375 73.75 96.94989106753809 97.03703703703701
67: 67.22222222222223 67.01388888888889 75.625 77.8125 96.94989106753809 97.08061002178646
68: 66.59722222222223 65.9375 76.25 75.625 97.29847494553374 97.16775599128538
69: 66.28472222222223 66.35416666666667 76.875 76.875 97.25490196078428 97.03703703703701
70: 66.84027777777777 66.84027777777777 76.5625 76.5625 97.55991285403047 97.29847494553374
71: 66.45833333333333 66.28472222222223 76.25 76.875 97.29847494553374 97.21132897603482
72: 67.04861111111111 66.80555555555556 76.25 76.875 97.16775599128538 97.12418300653592
73: 66.52777777777777 66.66666666666667 77.5 77.1875 97.1241830065359 97.34204793028317
74: 67.15277777777777 66.52777777777777 76.25 73.125 96.86274509803918 96.86274509803918
75: 66.42361111111111 66.28472222222223 77.1875 76.875 97.12418300653592 96.94989106753809
76: 67.01388888888889 67.04861111111111 77.1875 76.25 97.12418300653592 97.12418300653592
77: 66.5625 66.97916666666667 75.3125 77.1875 97.16775599128538 97.16775599128538
78: 66.5625 66.875 72.5 75.625 97.21132897603482 97.08061002178646
79: 67.29166666666667 67.46527777777777 76.25 75.625 96.90631808278866 97.08061002178646
80: 67.32638888888889 67.39583333333333 76.25 75.625 97.21132897603482 97.12418300653592
81: 67.70833333333333 67.67361111111111 77.8125 77.8125 97.4291938997821 97.47276688453157
82: 68.02083333333333 67.5 76.25 75.3125 97.3420479302832 97.51633986928103
83: 67.63888888888889 67.39583333333333 76.875 76.5625 97.38562091503265 97.3420479302832
84: 67.1875 66.94444444444444 74.0625 72.8125 97.16775599128539 97.12418300653592
85: 67.29166666666667 67.70833333333333 75.9375 77.1875 97.3420479302832 97.38562091503265
86: 67.67361111111111 67.91666666666667 75.9375 76.25 97.21132897603482 97.3420479302832
87: 67.08333333333333 67.36111111111111 75.0 74.6875 97.60348583877993 97.60348583877992
88: 67.77777777777777 67.88194444444444 76.25 76.5625 97.55991285403047 97.38562091503265
89: 67.74305555555556 67.77777777777777 77.5 70.9375 97.12418300653592 97.47276688453157
90: 67.67361111111111 67.74305555555556 75.9375 75.9375 97.25490196078428 97.29847494553374
91: 67.39583333333333 67.88194444444444 75.625 75.0 97.29847494553374 97.21132897603482
92: 67.8125 68.125 76.5625 75.625 97.7342047930283 97.64705882352939
93: 67.70833333333333 67.67361111111111 76.875 77.8125 97.16775599128538 97.29847494553374
94: 67.70833333333333 67.95138888888889 75.3125 75.3125 97.47276688453157 97.516339869281
95: 68.15972222222223 68.15972222222223 73.125 77.8125 97.51633986928103 97.516339869281
96: 68.68055555555556 68.50694444444444 75.3125 74.6875 97.55991285403047 97.3420479302832
97: 68.19444444444444 68.26388888888889 77.1875 74.6875 97.42919389978209 97.25490196078427
98: 68.61111111111111 68.54166666666667 74.375 75.3125 97.55991285403046 97.55991285403046
99: 68.85416666666667 68.40277777777777 75.3125 73.75 97.4291938997821 97.3420479302832
100: 68.71527777777777 68.15972222222223 77.1875 76.5625 97.29847494553374 97.21132897603482
101: 68.68055555555556 68.57638888888889 72.1875 75.0 97.16775599128538 97.16775599128538
102: 68.81944444444444 68.81944444444444 76.25 75.3125 97.21132897603482 97.3420479302832
103: 68.4375 67.95138888888889 75.9375 76.5625 97.03703703703701 97.25490196078428
104: 68.95833333333333 68.68055555555556 76.25 78.75 97.51633986928103 97.47276688453157
105: 68.47222222222223 68.4375 76.5625 77.1875 97.55991285403047 97.51633986928103
106: 68.92361111111111 68.71527777777777 79.0625 75.625 97.03703703703701 97.12418300653592
107: 69.02777777777777 69.16666666666667 77.5 78.4375 97.55991285403047 97.47276688453157
108: 68.81944444444444 69.0625 75.625 75.3125 97.64705882352939 97.64705882352936
109: 68.71527777777777 69.27083333333333 75.3125 75.3125 97.12418300653592 97.21132897603482
110: 69.61805555555556 69.54861111111111 76.875 76.875 97.16775599128538 97.12418300653592
111: 68.92361111111111 68.47222222222223 75.625 76.5625 97.16775599128538 96.99346405228755
112: 69.86111111111111 69.65277777777777 75.625 76.25 97.3420479302832 97.64705882352936
113: 68.88888888888889 68.99305555555556 76.875 78.4375 97.2113289760348 97.34204793028317
114: 69.51388888888889 70.06944444444444 78.4375 76.875 97.25490196078428 97.3420479302832
115: 69.27083333333333 69.6875 76.5625 72.8125 97.38562091503265 97.38562091503265
116: 70.03472222222223 69.89583333333333 75.9375 77.5 97.47276688453157 97.38562091503265
117: 69.75694444444444 69.58333333333333 77.5 76.5625 97.38562091503265 97.4291938997821
118: 70.17361111111111 70.0 76.5625 75.9375 97.4291938997821 97.3420479302832
119: 69.65277777777777 69.6875 77.8125 77.1875 97.21132897603482 96.86274509803918
