epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 51.041666666666664 56.770833333333336 62.5 62.5 10.119047619047617 9.523809523809522
2: 66.14583333333333 62.5 31.25 56.25 4.0 4.0
3: 73.4375 71.35416666666667 40.625 50.0 4.545454545454546 4.545454545454546
4: 69.79166666666667 70.83333333333333 40.625 40.625 2.631578947368421 2.631578947368421
5: 71.35416666666667 71.35416666666667 46.875 50.0 4.166666666666667 5.208333333333333
6: 70.83333333333333 69.79166666666667 37.5 40.625 1.3888888888888886 1.3888888888888886
7: 61.979166666666664 65.10416666666667 37.5 34.375 3.7037037037037037 1.8518518518518519
8: 61.458333333333336 60.9375 34.375 34.375 2.7777777777777772 2.7777777777777772
9: 62.5 61.458333333333336 34.375 34.375 0.0 5.5555555555555545
10: 57.8125 57.8125 37.5 34.375 0.0 0.0
11: 56.25 57.291666666666664 40.625 34.375 0.0 0.0
12: 55.729166666666664 57.8125 34.375 34.375 0.0 0.0
13: 56.25 56.25 37.5 34.375 0.0 0.0
14: 54.6875 58.854166666666664 37.5 34.375 5.5555555555555545 0.0
15: 54.166666666666664 57.291666666666664 37.5 37.5 0.0 5.5555555555555545
16: 50.0 55.729166666666664 40.625 34.375 0.0 0.0
17: 52.083333333333336 54.166666666666664 40.625 37.5 0.0 0.0
18: 53.125 54.6875 40.625 34.375 0.0 0.0
19: 51.5625 56.25 46.875 37.5 0.0 0.0
20: 50.520833333333336 50.0 43.75 37.5 0.0 0.0
21: 52.083333333333336 54.6875 37.5 37.5 0.0 0.0
22: 56.770833333333336 58.854166666666664 37.5 37.5 0.0 0.0
23: 54.166666666666664 53.645833333333336 37.5 31.25 0.0 0.0
24: 53.645833333333336 56.25 40.625 34.375 0.0 0.0
25: 57.291666666666664 58.854166666666664 37.5 34.375 5.5555555555555545 0.0
26: 54.6875 55.729166666666664 37.5 37.5 0.0 5.5555555555555545
27: 55.729166666666664 58.854166666666664 37.5 40.625 0.0 0.0
28: 54.166666666666664 54.6875 40.625 34.375 0.0 0.0
29: 56.25 55.208333333333336 37.5 40.625 0.0 0.0
30: 52.083333333333336 54.6875 34.375 37.5 0.0 0.0
31: 54.166666666666664 58.333333333333336 34.375 37.5 0.0 0.0
32: 58.333333333333336 57.291666666666664 34.375 37.5 0.0 0.0
33: 55.208333333333336 55.729166666666664 34.375 37.5 0.0 0.0
34: 57.8125 58.854166666666664 34.375 43.75 5.5555555555555545 0.0
35: 53.125 55.729166666666664 43.75 34.375 0.0 0.0
36: 57.291666666666664 57.8125 34.375 37.5 0.0 0.0
37: 55.208333333333336 52.083333333333336 34.375 37.5 0.0 0.0
38: 55.208333333333336 57.291666666666664 34.375 37.5 0.0 5.5555555555555545
39: 55.208333333333336 55.729166666666664 40.625 37.5 0.0 0.0
40: 53.645833333333336 56.770833333333336 40.625 34.375 0.0 0.0
41: 54.6875 56.770833333333336 40.625 37.5 0.0 0.0
42: 54.166666666666664 57.8125 37.5 40.625 0.0 0.0
43: 53.125 54.6875 37.5 37.5 0.0 0.0
44: 48.958333333333336 55.729166666666664 37.5 34.375 0.0 0.0
45: 54.6875 57.8125 31.25 37.5 0.0 0.0
46: 55.208333333333336 54.6875 53.125 34.375 0.0 0.0
47: 53.125 58.333333333333336 43.75 31.25 0.0 0.0
48: 53.125 54.6875 40.625 31.25 0.0 0.0
49: 48.958333333333336 54.166666666666664 37.5 37.5 0.0 0.0
50: 53.125 58.333333333333336 46.875 37.5 0.0 0.0
51: 53.125 55.729166666666664 34.375 40.625 0.0 5.5555555555555545
52: 54.6875 54.6875 43.75 34.375 0.0 0.0
53: 51.041666666666664 55.208333333333336 40.625 37.5 0.0 0.0
54: 51.5625 56.25 34.375 37.5 0.0 0.0
55: 55.729166666666664 57.8125 34.375 37.5 0.0 0.0
56: 51.041666666666664 55.729166666666664 40.625 37.5 0.0 5.5555555555555545
57: 54.6875 59.375 43.75 37.5 0.0 0.0
58: 56.25 58.333333333333336 43.75 40.625 0.0 0.0
59: 52.604166666666664 57.8125 43.75 40.625 0.0 0.0
60: 53.645833333333336 55.729166666666664 34.375 37.5 0.0 0.0
61: 52.604166666666664 55.208333333333336 34.375 34.375 0.0 0.0
62: 54.6875 55.208333333333336 34.375 37.5 0.0 0.0
63: 53.645833333333336 54.166666666666664 40.625 37.5 0.0 0.0
64: 53.645833333333336 57.291666666666664 40.625 34.375 5.5555555555555545 5.5555555555555545
65: 56.25 56.770833333333336 43.75 34.375 0.0 0.0
66: 56.25 54.6875 31.25 40.625 0.0 0.0
67: 52.604166666666664 56.25 43.75 34.375 0.0 0.0
68: 55.729166666666664 57.8125 40.625 37.5 0.0 0.0
69: 53.645833333333336 55.729166666666664 37.5 40.625 0.0 0.0
70: 54.166666666666664 55.729166666666664 40.625 34.375 0.0 0.0
71: 52.083333333333336 54.166666666666664 37.5 37.5 0.0 0.0
72: 51.5625 54.6875 37.5 37.5 0.0 0.0
73: 56.770833333333336 57.291666666666664 37.5 37.5 0.0 0.0
74: 54.6875 57.8125 37.5 37.5 0.0 0.0
75: 54.6875 55.729166666666664 31.25 34.375 0.0 0.0
76: 55.208333333333336 57.291666666666664 31.25 37.5 0.0 0.0
77: 53.125 55.729166666666664 43.75 37.5 0.0 0.0
78: 56.25 57.291666666666664 31.25 37.5 0.0 0.0
79: 61.458333333333336 60.416666666666664 34.375 34.375 0.0 0.0
80: 61.458333333333336 60.416666666666664 34.375 31.25 0.0 0.0
81: 60.9375 61.458333333333336 37.5 31.25 0.0 0.0
82: 60.416666666666664 59.895833333333336 34.375 31.25 0.0 0.0
83: 57.8125 61.979166666666664 37.5 37.5 0.0 0.0
84: 58.854166666666664 59.895833333333336 37.5 37.5 0.0 0.0
85: 58.854166666666664 62.5 34.375 34.375 0.0 0.0
86: 57.291666666666664 58.854166666666664 31.25 34.375 0.0 0.0
87: 59.375 57.291666666666664 34.375 31.25 0.0 0.0
88: 55.208333333333336 58.333333333333336 34.375 37.5 0.0 0.0
89: 57.8125 60.416666666666664 40.625 31.25 0.0 0.0
90: 57.8125 62.5 34.375 31.25 0.0 0.0
91: 56.25 59.895833333333336 37.5 34.375 0.0 0.0
92: 57.8125 58.333333333333336 37.5 31.25 0.0 5.5555555555555545
93: 59.895833333333336 60.416666666666664 37.5 31.25 0.0 0.0
94: 54.166666666666664 57.8125 40.625 34.375 0.0 0.0
95: 58.854166666666664 60.416666666666664 43.75 31.25 0.0 0.0
96: 56.25 57.8125 37.5 34.375 0.0 0.0
