epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 49.479166666666664 50.520833333333336 71.875 62.5 41.95402298850575 39.6551724137931
2: 49.479166666666664 52.604166666666664 15.625 28.125 37.65432098765432 33.333333333333336
3: 54.6875 51.041666666666664 28.125 18.75 34.666666666666664 34.666666666666664
4: 55.729166666666664 57.8125 28.125 34.375 33.333333333333336 31.884057971014496
5: 55.208333333333336 56.25 28.125 40.625 34.92063492063491 36.5079365079365
6: 54.6875 52.083333333333336 37.5 37.5 34.21052631578947 33.33333333333333
7: 53.645833333333336 53.645833333333336 34.375 37.5 34.31372549019608 33.333333333333336
8: 53.125 55.729166666666664 40.625 37.5 32.14285714285714 33.333333333333336
9: 56.770833333333336 56.25 40.625 40.625 30.555555555555554 33.333333333333336
10: 54.166666666666664 57.291666666666664 43.75 46.875 34.72222222222222 34.72222222222222
11: 55.729166666666664 56.25 46.875 40.625 33.333333333333336 30.555555555555554
12: 55.208333333333336 54.166666666666664 37.5 40.625 30.555555555555554 30.555555555555554
13: 56.25 55.208333333333336 34.375 37.5 27.777777777777775 31.944444444444443
14: 57.291666666666664 56.25 37.5 37.5 27.77777777777777 30.555555555555554
15: 55.208333333333336 55.208333333333336 34.375 34.375 30.55555555555556 27.777777777777782
16: 51.5625 52.083333333333336 37.5 37.5 31.944444444444443 34.72222222222222
17: 54.166666666666664 54.166666666666664 34.375 43.75 29.166666666666668 23.61111111111111
18: 54.166666666666664 52.604166666666664 31.25 40.625 31.94444444444444 29.166666666666668
19: 56.25 54.166666666666664 34.375 40.625 33.333333333333336 34.72222222222222
20: 55.729166666666664 56.25 40.625 43.75 33.333333333333336 31.944444444444443
21: 55.208333333333336 54.166666666666664 34.375 43.75 30.555555555555557 27.777777777777775
22: 57.291666666666664 56.25 34.375 37.5 34.72222222222223 36.111111111111114
23: 53.125 53.125 40.625 37.5 30.555555555555557 29.166666666666668
24: 53.645833333333336 54.6875 37.5 34.375 30.555555555555554 27.777777777777775
25: 54.6875 54.166666666666664 34.375 40.625 29.16666666666666 29.166666666666668
26: 57.291666666666664 55.208333333333336 37.5 34.375 34.72222222222222 29.166666666666668
27: 57.291666666666664 55.729166666666664 40.625 40.625 33.33333333333332 26.388888888888886
28: 53.645833333333336 55.208333333333336 34.375 34.375 33.333333333333336 37.5
29: 54.6875 54.6875 37.5 37.5 34.72222222222222 33.333333333333336
30: 51.041666666666664 53.125 34.375 37.5 29.166666666666668 30.555555555555554
31: 54.166666666666664 54.6875 37.5 34.375 27.777777777777775 29.166666666666668
32: 56.770833333333336 56.25 40.625 37.5 38.88888888888889 30.555555555555554
33: 56.770833333333336 53.125 37.5 40.625 33.33333333333333 33.333333333333336
34: 57.8125 55.729166666666664 40.625 37.5 31.94444444444444 30.555555555555546
35: 55.208333333333336 53.125 37.5 46.875 40.27777777777777 30.555555555555554
36: 58.854166666666664 56.770833333333336 40.625 34.375 31.944444444444443 27.777777777777782
37: 58.333333333333336 57.291666666666664 40.625 37.5 36.111111111111114 36.111111111111114
38: 55.208333333333336 54.166666666666664 43.75 37.5 29.166666666666668 33.333333333333336
39: 55.208333333333336 54.6875 37.5 40.625 27.77777777777777 26.388888888888886
40: 53.645833333333336 54.166666666666664 37.5 40.625 34.72222222222222 36.11111111111111
41: 54.6875 55.729166666666664 40.625 37.5 29.166666666666668 29.166666666666668
42: 55.208333333333336 54.6875 34.375 40.625 29.16666666666666 31.944444444444446
43: 54.6875 54.6875 37.5 37.5 33.333333333333336 30.55555555555556
44: 56.25 56.25 34.375 37.5 27.777777777777782 31.944444444444446
45: 56.770833333333336 56.25 37.5 37.5 30.555555555555554 33.33333333333333
46: 53.645833333333336 54.166666666666664 37.5 37.5 31.944444444444443 33.333333333333336
47: 54.6875 54.6875 34.375 40.625 26.388888888888886 36.111111111111114
48: 55.208333333333336 56.25 37.5 40.625 34.72222222222222 38.88888888888889
49: 56.25 58.333333333333336 37.5 40.625 27.777777777777775 31.94444444444444
50: 55.729166666666664 56.25 40.625 40.625 29.166666666666668 31.944444444444446
51: 55.729166666666664 55.208333333333336 40.625 37.5 31.944444444444443 37.49999999999999
52: 56.25 55.208333333333336 37.5 40.625 31.944444444444443 33.333333333333336
53: 53.645833333333336 54.166666666666664 40.625 37.5 34.72222222222222 38.888888888888886
54: 55.729166666666664 54.6875 37.5 37.5 33.333333333333336 40.27777777777778
55: 55.208333333333336 55.729166666666664 37.5 37.5 37.5 36.111111111111114
56: 56.25 56.25 34.375 40.625 30.555555555555554 33.333333333333336
57: 55.208333333333336 53.645833333333336 37.5 34.375 29.166666666666668 30.55555555555556
58: 54.6875 53.645833333333336 37.5 34.375 26.388888888888886 26.388888888888886
59: 55.729166666666664 55.208333333333336 37.5 34.375 30.555555555555554 27.77777777777777
60: 55.208333333333336 56.770833333333336 37.5 34.375 27.777777777777775 24.999999999999996
61: 55.208333333333336 55.208333333333336 37.5 37.5 25.0 27.777777777777775
62: 53.645833333333336 54.166666666666664 34.375 40.625 29.16666666666666 27.77777777777777
63: 56.25 53.125 40.625 34.375 29.166666666666668 26.388888888888886
64: 57.291666666666664 54.6875 37.5 37.5 26.388888888888882 26.38888888888889
65: 57.8125 58.333333333333336 37.5 40.625 22.222222222222225 22.222222222222225
66: 57.8125 54.166666666666664 43.75 40.625 20.83333333333333 23.611111111111104
67: 55.729166666666664 54.166666666666664 46.875 43.75 26.388888888888886 23.61111111111111
68: 54.6875 56.25 43.75 37.5 27.77777777777777 29.166666666666668
69: 56.25 56.25 43.75 37.5 33.33333333333333 30.555555555555557
70: 54.6875 56.770833333333336 37.5 40.625 29.166666666666668 26.388888888888886
71: 54.6875 54.6875 40.625 37.5 31.944444444444443 29.16666666666666
72: 54.6875 53.645833333333336 34.375 34.375 27.777777777777782 26.388888888888886
73: 57.291666666666664 57.8125 37.5 37.5 27.77777777777777 27.77777777777777
74: 52.604166666666664 53.645833333333336 40.625 40.625 29.166666666666668 26.388888888888886
75: 56.25 56.770833333333336 34.375 37.5 27.777777777777775 27.777777777777775
76: 54.166666666666664 53.645833333333336 43.75 43.75 23.611111111111104 23.611111111111114
77: 52.083333333333336 51.5625 40.625 40.625 29.166666666666668 30.555555555555557
78: 54.166666666666664 54.166666666666664 34.375 40.625 30.555555555555554 31.944444444444446
79: 53.645833333333336 55.208333333333336 34.375 37.5 33.333333333333336 34.72222222222223
80: 54.6875 56.770833333333336 37.5 37.5 30.555555555555554 33.333333333333336
81: 53.125 52.604166666666664 40.625 43.75 29.16666666666666 30.555555555555546
82: 53.125 55.208333333333336 37.5 40.625 27.777777777777775 34.72222222222222
83: 52.083333333333336 54.166666666666664 37.5 40.625 29.166666666666668 33.333333333333336
84: 57.291666666666664 54.166666666666664 37.5 37.5 31.944444444444446 36.111111111111114
85: 58.333333333333336 58.854166666666664 37.5 43.75 27.777777777777775 29.16666666666667
86: 55.208333333333336 56.25 40.625 37.5 30.555555555555557 33.333333333333336
87: 55.729166666666664 55.208333333333336 37.5 40.625 27.777777777777775 31.944444444444443
88: 55.729166666666664 54.166666666666664 40.625 40.625 30.55555555555556 38.88888888888889
89: 55.208333333333336 56.25 40.625 34.375 25.0 29.166666666666657
90: 51.5625 53.125 40.625 40.625 26.38888888888889 29.166666666666668
91: 55.729166666666664 52.604166666666664 40.625 37.5 29.166666666666668 30.555555555555557
92: 55.208333333333336 55.729166666666664 37.5 40.625 26.388888888888886 34.72222222222223
93: 56.25 58.854166666666664 37.5 37.5 26.38888888888889 26.38888888888889
94: 54.166666666666664 54.6875 37.5 37.5 27.777777777777782 30.555555555555554
95: 54.166666666666664 57.291666666666664 37.5 37.5 34.72222222222222 31.94444444444444
96: 54.6875 55.729166666666664 34.375 40.625 27.77777777777777 31.944444444444446
97: 51.041666666666664 54.166666666666664 37.5 40.625 33.333333333333336 36.11111111111111
98: 56.25 55.729166666666664 37.5 37.5 33.333333333333336 36.11111111111111
99: 55.208333333333336 55.729166666666664 40.625 40.625 25.0 34.72222222222222
100: 54.166666666666664 53.125 37.5 37.5 31.94444444444444 34.72222222222222
101: 54.166666666666664 54.6875 34.375 40.625 29.16666666666666 34.72222222222222
102: 52.604166666666664 54.166666666666664 34.375 37.5 31.94444444444444 31.944444444444446
103: 54.166666666666664 54.166666666666664 46.875 37.5 29.166666666666668 30.555555555555557
104: 54.6875 55.729166666666664 37.5 40.625 29.166666666666657 33.333333333333336
105: 54.166666666666664 56.25 37.5 40.625 34.72222222222222 34.72222222222222
106: 55.208333333333336 57.291666666666664 43.75 43.75 29.166666666666668 37.5
107: 54.166666666666664 52.083333333333336 37.5 46.875 33.333333333333336 31.944444444444443
108: 53.125 54.6875 40.625 37.5 24.999999999999996 33.33333333333332
109: 56.770833333333336 57.8125 37.5 40.625 33.333333333333336 36.111111111111114
110: 51.5625 53.645833333333336 43.75 46.875 30.555555555555554 34.72222222222222
111: 55.729166666666664 57.291666666666664 43.75 43.75 34.72222222222222 36.111111111111114
112: 54.6875 55.729166666666664 40.625 43.75 31.944444444444443 31.944444444444443
113: 54.6875 54.166666666666664 46.875 37.5 30.555555555555554 30.555555555555554
114: 56.25 55.729166666666664 46.875 37.5 33.33333333333332 31.944444444444443
115: 58.333333333333336 53.125 46.875 37.5 36.11111111111111 31.94444444444444
116: 56.770833333333336 54.6875 37.5 37.5 34.72222222222222 33.333333333333336
117: 53.645833333333336 55.729166666666664 43.75 40.625 33.333333333333336 31.944444444444446
118: 55.729166666666664 55.729166666666664 43.75 43.75 34.72222222222221 29.166666666666668
119: 56.25 54.166666666666664 46.875 43.75 31.944444444444443 30.555555555555554
120: 57.291666666666664 57.291666666666664 37.5 37.5 26.388888888888882 27.777777777777775
121: 54.6875 54.166666666666664 37.5 37.5 29.166666666666668 30.555555555555557
122: 53.125 54.166666666666664 43.75 37.5 34.72222222222222 40.27777777777778
123: 56.770833333333336 55.729166666666664 40.625 40.625 36.11111111111111 36.11111111111111
124: 55.729166666666664 54.6875 40.625 43.75 33.333333333333336 34.72222222222222
125: 54.6875 54.166666666666664 37.5 40.625 29.166666666666668 29.166666666666668
126: 55.729166666666664 54.166666666666664 40.625 37.5 30.555555555555554 33.333333333333336
127: 53.125 51.5625 43.75 43.75 34.72222222222222 33.333333333333336
128: 53.645833333333336 53.125 40.625 46.875 31.944444444444446 33.333333333333336
129: 55.729166666666664 55.208333333333336 40.625 43.75 34.72222222222222 34.72222222222222
130: 56.770833333333336 55.208333333333336 34.375 37.5 30.55555555555556 36.111111111111114
131: 57.291666666666664 55.208333333333336 37.5 40.625 27.777777777777775 29.16666666666666
132: 55.208333333333336 57.291666666666664 40.625 40.625 33.333333333333336 36.11111111111111
133: 56.25 55.729166666666664 40.625 43.75 33.333333333333336 33.333333333333336
134: 53.125 55.208333333333336 37.5 40.625 31.944444444444443 30.555555555555554
135: 55.208333333333336 54.6875 40.625 40.625 29.166666666666668 29.16666666666666
